geom;geom_comment;molecule;n_pretrain_HF;energy_type;epoch;E;E_sigma;wandb_url;experiment;source;method;embedding;orbitals;reuse_from;n_pretrain_variational;n_shared_molecules;epoch_geom;n_moelcules_shared;batch_size;HF_pretraining_loss
eec1bcb573cf13cf2c31b146df928b55;HChain6_2.20;HChain6;2000.0;eval;1000.0;-3.3484739542007445;5.003491705260608e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8cx1yrrp;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
eec1bcb573cf13cf2c31b146df928b55;HChain6_2.20;HChain6;2000.0;eval;2000.0;-3.348868510723114;3.616113018477303e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8cx1yrrp;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
eec1bcb573cf13cf2c31b146df928b55;HChain6_2.20;HChain6;2000.0;eval;4000.0;-3.3491550135612487;2.6568942213706447e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8cx1yrrp;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
eec1bcb573cf13cf2c31b146df928b55;HChain6_2.20;HChain6;2000.0;eval;8000.0;-3.349247358798981;2.2449197458257645e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8cx1yrrp;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
eec1bcb573cf13cf2c31b146df928b55;HChain6_2.20;HChain6;2000.0;eval;16000.0;-3.349310538291931;1.9172319012212336e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8cx1yrrp;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
55ce0b3a5737f43c281691e59e5d047b;HChain6_1.80;HChain6;2000.0;eval;500.0;-3.4031885454654693;7.612746072861773e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/65n6cqyf;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
55ce0b3a5737f43c281691e59e5d047b;HChain6_1.80;HChain6;2000.0;eval;1000.0;-3.404276177406311;5.522399994474391e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/65n6cqyf;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
55ce0b3a5737f43c281691e59e5d047b;HChain6_1.80;HChain6;2000.0;eval;2000.0;-3.4047278749942778;4.089266012151467e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/65n6cqyf;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
55ce0b3a5737f43c281691e59e5d047b;HChain6_1.80;HChain6;2000.0;eval;4000.0;-3.405010024785996;3.3464085445101925e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/65n6cqyf;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
55ce0b3a5737f43c281691e59e5d047b;HChain6_1.80;HChain6;2000.0;eval;8000.0;-3.4051439228057863;2.3910785770974813e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/65n6cqyf;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
55ce0b3a5737f43c281691e59e5d047b;HChain6_1.80;HChain6;2000.0;eval;16000.0;-3.405181154966354;2.15459746085345e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/65n6cqyf;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4d50301f91c5dba8db54826791fa884a;HChain4_2.60;HChain4;2000.0;eval;500.0;-2.172985112428665;3.882791212155479e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/d3nlqxe8;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4d50301f91c5dba8db54826791fa884a;HChain4_2.60;HChain4;2000.0;eval;1000.0;-2.1731464121341704;2.863208917769382e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/d3nlqxe8;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4d50301f91c5dba8db54826791fa884a;HChain4_2.60;HChain4;2000.0;eval;2000.0;-2.1732671377658845;2.3491745494896327e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/d3nlqxe8;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4d50301f91c5dba8db54826791fa884a;HChain4_2.60;HChain4;2000.0;eval;4000.0;-2.173324333190918;1.8550150321146142e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/d3nlqxe8;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4d50301f91c5dba8db54826791fa884a;HChain4_2.60;HChain4;2000.0;eval;8000.0;-2.1733487901687623;1.702558537754317e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/d3nlqxe8;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4d50301f91c5dba8db54826791fa884a;HChain4_2.60;HChain4;2000.0;eval;16000.0;-2.173372190952301;1.5109357633766469e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/d3nlqxe8;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
f2a21cde668d7e5e5a43e3cb14aecd0e;HChain6_1.60;HChain6;2000.0;eval;500.0;-3.392964892148972;9.081426841188662e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/tqb8i0lg;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
f2a21cde668d7e5e5a43e3cb14aecd0e;HChain6_1.60;HChain6;2000.0;eval;1000.0;-3.394684734582901;6.295605774925647e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/tqb8i0lg;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
f2a21cde668d7e5e5a43e3cb14aecd0e;HChain6_1.60;HChain6;2000.0;eval;2000.0;-3.3952200503349306;4.7081189812257815e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/tqb8i0lg;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
f2a21cde668d7e5e5a43e3cb14aecd0e;HChain6_1.60;HChain6;2000.0;eval;4000.0;-3.3954767298698427;3.509258500213797e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/tqb8i0lg;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
f2a21cde668d7e5e5a43e3cb14aecd0e;HChain6_1.60;HChain6;2000.0;eval;8000.0;-3.3956242299079893;2.806203156018137e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/tqb8i0lg;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
f2a21cde668d7e5e5a43e3cb14aecd0e;HChain6_1.60;HChain6;2000.0;eval;16000.0;-3.395753234148025;2.3843677465471168e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/tqb8i0lg;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4be599305af4e65f2513ea7478a99ca2;HChain4_1.80;HChain4;2000.0;eval;500.0;-2.277506076335907;4.926990546962869e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/am36dcam;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4be599305af4e65f2513ea7478a99ca2;HChain4_1.80;HChain4;2000.0;eval;1000.0;-2.277808757305145;4.351492077086134e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/am36dcam;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4be599305af4e65f2513ea7478a99ca2;HChain4_1.80;HChain4;2000.0;eval;2000.0;-2.278002842187881;2.81668901940548e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/am36dcam;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4be599305af4e65f2513ea7478a99ca2;HChain4_1.80;HChain4;2000.0;eval;4000.0;-2.278104661703109;2.341360399016592e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/am36dcam;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4be599305af4e65f2513ea7478a99ca2;HChain4_1.80;HChain4;2000.0;eval;8000.0;-2.27813294506073;1.783135229071221e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/am36dcam;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
4be599305af4e65f2513ea7478a99ca2;HChain4_1.80;HChain4;2000.0;eval;16000.0;-2.278163901090622;1.5756436995773633e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/am36dcam;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
10ee7d2a9997a301e7b91032f84e1be0;HChain4_2.40;HChain4;2000.0;eval;500.0;-2.202853790283203;3.836846441529512e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/9o2oe8xd;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
10ee7d2a9997a301e7b91032f84e1be0;HChain4_2.40;HChain4;2000.0;eval;1000.0;-2.203108882188797;3.0986386898377584e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/9o2oe8xd;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
10ee7d2a9997a301e7b91032f84e1be0;HChain4_2.40;HChain4;2000.0;eval;2000.0;-2.2032250649929046;2.305226428266176e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/9o2oe8xd;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
