,geom,geom_comment,molecule,n_pretrain_HF,energy_type,epoch,E,E_sigma,wandb_url,experiment,source,method,embedding,orbitals,reuse_from,n_pretrain_variational,n_shared_molecules,epoch_geom,n_moelcules_shared,batch_size,HF_pretraining_loss,n_compounds,model_size
8031,6eed87dcf803dd7d5b448ee31ab417cf,CNH_smiles_C#N_rot_dist_53,CNH,0.0,eval,4000.0,-93.41755237579346,0.0008260473538337,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/ep5hccta,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,310.0,,2048.0,,18.0,2.0
8038,4fd50f6f79299e67b79b78aba129d903,CN2H2_smiles_N=C=N_rot_dist_54,CN2H2,0.0,eval,4000.0,-148.6738959503174,0.0017075162940772,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/wp9acazh,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,409.0,,2048.0,,18.0,2.0
8045,cdc0a52870d1c76c5a3632d8502fec88,CNOH_smiles_N=C=O_rot_dist_54,CNOH,0.0,eval,4000.0,-168.58926628112792,0.0017595869125259,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/q4h21lis,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,438.0,,2048.0,,18.0,2.0
8052,9b1496c115ba1caeef04b4c9f1b7c5a6,C3H4_smiles_C=C=C_rot_dist_51,C3H4,0.0,eval,4000.0,-116.57522163391111,0.0011785457890029,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/fte38h9o,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,356.0,,2048.0,,18.0,2.0
8059,662535ff35c7916e7a0d7e52e6c49903,CNH_smiles_C#N_rot_dist_52,CNH,0.0,eval,4000.0,-93.39625713348389,0.0007907325201173,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/w57m7mdy,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,467.0,,2048.0,,18.0,2.0
8066,b2c66515e32b29b4d09cfa60705cd14c,C3H4_smiles_C=C=C_rot_dist_50,C3H4,0.0,eval,4000.0,-116.5845822906494,0.0010055951735436,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/z39stc4s,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,341.0,,2048.0,,18.0,2.0
8073,d422cfadf8470805c402a4512c58b7ce,CN2H2_smiles_N=C=N_rot_dist_53,CN2H2,0.0,eval,4000.0,-148.6658794403076,0.002287396228052,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/499k2x6x,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,411.0,,2048.0,,18.0,2.0
8080,8d25b8d3137c86f2e5698b54d0a0b56c,CNOH_smiles_N=C=O_rot_dist_53,CNOH,0.0,eval,4000.0,-168.55125679016112,0.001920756738359,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/2mc8i7sm,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,408.0,,2048.0,,18.0,2.0
8087,b2cc341b45071fec3c3f508d88ffabd6,CNH_smiles_C#N_rot_dist_51,CNH,0.0,eval,4000.0,-93.38976390838624,0.0008384363493389,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/e8p2h2l9,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,398.0,,2048.0,,18.0,2.0
8094,ae7f869e4dc259959ddca3a99c75eca1,CN2H2_smiles_N=C=N_rot_dist_52,CN2H2,0.0,eval,4000.0,-148.6993893432617,0.0014211692124377,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/zwkqy4zk,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,358.0,,2048.0,,18.0,2.0
8101,5188fdca3d00beb9998bb5d2b4e1f96c,CNOH_smiles_N=C=O_rot_dist_52,CNOH,0.0,eval,4000.0,-168.6332970428467,0.0018721128829078,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/wsu0s3pa,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,362.0,,2048.0,,18.0,2.0
8108,b829bc18fa469b0981034a0fd9d049ea,CNH_smiles_C#N_rot_dist_50,CNH,0.0,eval,4000.0,-93.39934429168702,0.0007990930577373,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/vkdib5ko,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,459.0,,2048.0,,18.0,2.0
8115,41bc67289a2b7be9c21cfa58443c8897,CNOH_smiles_N=C=O_rot_dist_51,CNOH,0.0,eval,4000.0,-168.5908683013916,0.0018511669723772,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/wb9rg6bh,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,452.0,,2048.0,,18.0,2.0
8122,644a83770910dae26308cc4292492ba7,CN2H2_smiles_N=C=N_rot_dist_51,CN2H2,0.0,eval,4000.0,-148.6603395843506,0.0015585325373579,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/rvk3vpqp,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,387.0,,2048.0,,18.0,2.0
8129,3962fa508c318c990017beb42983662e,CN2H2_smiles_N=C=N_rot_dist_50,CN2H2,0.0,eval,4000.0,-148.64130310058593,0.0015058620914541,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/zvntomda,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,460.0,,2048.0,,18.0,2.0
8136,151258110b9bc0d82cc4522c7978695a,CNOH_smiles_N=C=O_rot_dist_50,CNOH,0.0,eval,4000.0,-168.59683197021485,0.001723880554015,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/eodn1pt4,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,379.0,,2048.0,,18.0,2.0
8213,7fb33840aa5b12fb4def7a7d20d054d9,CO2_smiles_O=C=O_rot_dist_59,CO2,0.0,eval,4000.0,-188.4013549804688,0.0019384908585537,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/gmdhss68,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,363.0,,2048.0,,18.0,2.0
8220,e22669aff25c01b3c2376967ca170609,CO2_smiles_O=C=O_rot_dist_58,CO2,0.0,eval,4000.0,-188.3920552825928,0.0019998644728322,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/liuzucsp,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,426.0,,2048.0,,18.0,2.0
