E,E_sigma,steps,geom_id,n_atom,R,k,weight
-4.552712440490723,3.307393329452755e-05,50000,34,8,2.0,0.25,0.5
-4.590054035186768,3.219788256683905e-05,50000,35,8,2.0,0.5,0.25
-5.7205491065979,4.5253383305057374e-05,50000,36,10,1.7,0.0,0.25
-5.678458213806152,5.13623571235496e-05,50000,37,10,1.7,0.25,0.5
-5.5702738761901855,0.00018340324429247005,50000,38,10,1.7,0.5,0.25
-5.73020601272583,3.816146400380649e-05,50000,39,10,1.8,0.0,0.25
-5.692920207977295,4.022940010115474e-05,50000,40,10,1.8,0.25,0.5
-5.598053455352783,4.5748711275646206e-05,50000,41,10,1.8,0.5,0.25
-5.72345495223999,3.4414608124792696e-05,50000,42,10,1.9,0.0,0.25
-5.690179347991943,5.6013153619347495e-05,50000,43,10,1.9,0.25,0.5
-5.6067047119140625,3.90198681421559e-05,50000,44,10,1.9,0.5,0.25
-5.704870223999023,3.42826348564178e-05,50000,45,10,2.0,0.0,0.25
-5.675174713134766,3.648739905163164e-05,50000,46,10,2.0,0.25,0.5
-5.601298809051514,4.57971190017636e-05,50000,47,10,2.0,0.5,0.25
-6.709825038909912,5.369995361862999e-05,50000,48,12,1.7,0.0,0.25
-6.800271034240723,4.8516802291827375e-05,50000,49,12,1.7,0.25,0.5
-6.835230350494385,5.140316372252874e-05,50000,50,12,1.7,0.5,0.25
-6.739419937133789,4.888270285100747e-05,50000,51,12,1.8,0.0,0.25
-6.818603515625,4.6077814049474855e-05,50000,52,12,1.8,0.25,0.5
-6.849630832672119,4.545724449365479e-05,50000,53,12,1.8,0.5,0.25
-6.746831893920898,4.742509300972278e-05,50000,54,12,1.9,0.0,0.25
-6.816226482391357,4.042025347046798e-05,50000,55,12,1.9,0.25,0.5
-6.843912124633789,4.0818927382617424e-05,50000,56,12,1.9,0.5,0.25
-6.739078521728516,4.557397906399295e-05,50000,57,12,2.0,0.0,0.25
-6.799072265625,3.997205509126199e-05,50000,58,12,2.0,0.25,0.5
-6.8237175941467285,4.4312681346682076e-05,50000,59,12,2.0,0.5,0.25
-2.0599539279937744,2.882914631919265e-05,100000,0,4,1.7,0.0,0.25
-2.3297276496887207,2.6649296640362415e-05,100000,1,4,1.7,0.25,0.5
-2.4352824687957764,2.5524561502092447e-05,100000,2,4,1.7,0.5,0.25
-2.0956616401672363,2.529717846937819e-05,100000,3,4,1.8,0.0,0.25
-2.331383228302002,2.233504004861028e-05,100000,4,4,1.8,0.25,0.5
-2.425264835357666,2.21731698812002e-05,100000,5,4,1.8,0.5,0.25
-2.119628429412842,2.466651138884263e-05,100000,6,4,1.9,0.0,0.25
-2.326667547225952,2.1761585766981535e-05,100000,7,4,1.9,0.25,0.5
-2.4106223583221436,1.9508903233287968e-05,100000,8,4,1.9,0.5,0.25
-2.134873151779175,2.5819781991389802e-05,100000,9,4,2.0,0.0,0.25
-2.3173978328704834,2.5207651769193776e-05,100000,10,4,2.0,0.25,0.5
-2.3927948474884033,2.1969657511450907e-05,100000,11,4,2.0,0.5,0.25
-3.511990547180176,2.9305760418892152e-05,100000,12,6,1.7,0.0,0.25
-3.4416611194610596,2.700829110697479e-05,100000,13,6,1.7,0.25,0.5
-3.2616732120513916,3.0396803300809282e-05,100000,14,6,1.7,0.5,0.25
-3.5102381706237793,2.6227569446727942e-05,100000,15,6,1.8,0.0,0.25
-3.4477853775024414,2.5192163171086735e-05,100000,16,6,1.8,0.25,0.5
-3.290426731109619,2.9603862568375136e-05,100000,17,6,1.8,0.5,0.25
-3.4997329711914062,2.2535467714366826e-05,100000,18,6,1.9,0.0,0.25
-3.443948984146118,2.3039039784149774e-05,100000,19,6,1.9,0.25,0.5
-3.305610418319702,2.5734204232941246e-05,100000,20,6,1.9,0.5,0.25
-3.4829795360565186,2.962807424081103e-05,100000,21,6,2.0,0.0,0.25
-3.4328598976135254,2.12799723643132e-05,100000,22,6,2.0,0.25,0.5
-3.3107924461364746,2.5171957709152814e-05,100000,23,6,2.0,0.5,0.25
-4.42339563369751,3.567815233961052e-05,100000,24,8,1.7,0.0,0.25
-4.558584213256836,2.861123085476668e-05,100000,25,8,1.7,0.25,0.5
-4.611247539520264,3.273683371844935e-05,100000,26,8,1.7,0.5,0.25
-4.45066499710083,3.161432425268048e-05,100000,27,8,1.8,0.0,0.25
-4.568924903869629,2.809333378407902e-05,100000,28,8,1.8,0.25,0.5
-4.615703582763672,3.12747829446654e-05,100000,29,8,1.8,0.5,0.25
-4.46177864074707,3.250658464430386e-05,100000,30,8,1.9,0.0,0.25
-4.565771102905273,2.7802252264695985e-05,100000,31,8,1.9,0.25,0.5
-4.607438087463379,2.603493553941383e-05,100000,32,8,1.9,0.5,0.25
-4.46085786819458,3.038165571217317e-05,100000,33,8,2.0,0.0,0.25
-4.55275297164917,2.6089923967382416e-05,100000,34,8,2.0,0.25,0.5
-4.590139865875244,2.5476140760346394e-05,100000,35,8,2.0,0.5,0.25
-5.7205400466918945,3.561524260003862e-05,100000,36,10,1.7,0.0,0.25
-5.67861795425415,3.840093595242143e-05,100000,37,10,1.7,0.25,0.5
